Symbol,Name
AMBA,"Ambarella, Inc."
IREN,IREN Limited
BABA,Alibaba Group Holding Limited
AFRM,"Affirm Holdings, Inc."
DOOO,BRP Inc.
ADSK,"Autodesk, Inc."
CIFR,Cipher Mining Inc.
SATS,EchoStar Corporation
S,"SentinelOne, Inc."
EQX,Equinox Gold Corp.
NXE,NexGen Energy Ltd.
MIAX,"Miami International Holdings, Inc."
NG,NovaGold Resources Inc.
PRVA,"Privia Health Group, Inc."
SSRM,SSR Mining Inc.
HL,Hecla Mining Company
CELH,"Celsius Holdings, Inc."
HMY,Harmony Gold Mining Company Limited
OS,"OneStream, Inc."
CNXC,Concentrix Corporation
BIDU,"Baidu, Inc."
CDE,"Coeur Mining, Inc."
JOYY,JOYY Inc.
GH,"Guardant Health, Inc."
BTDR,Bitdeer Technologies Group
COO,"The Cooper Companies, Inc."
GFI,Gold Fields Limited
GSAT,"Globalstar, Inc."
SBSW,Sibanye Stillwater Limited
IAG,IAMGOLD Corporation
SOUN,"SoundHound AI, Inc."
HCC,"Warrior Met Coal, Inc."
NGD,New Gold Inc.
BHC,Bausch Health Companies Inc.
BILI,Bilibili Inc.
AEM,Agnico Eagle Mines Limited
SJM,The J. M. Smucker Company
BF-A,Brown-Forman Corporation
OLN,Olin Corporation
MOH,"Molina Healthcare, Inc."
KGC,Kinross Gold Corporation
FSM,Fortuna Mining Corp.
BF-B,Brown-Forman Corporation
BTU,Peabody Energy Corporation
HP,"Helmerich & Payne, Inc."
WPM,Wheaton Precious Metals Corp.
UPWK,Upwork Inc.
EMN,Eastman Chemical Company
SNDK,Sandisk Corporation
TD,The Toronto-Dominion Bank
